id,rate_unemployment,percent_college,percent_married,median_income,average_act,percent_lunch,year,lea_id,state,zip,school_type,school_level,charter,homeless_count
100008000024,0.0639844886088221,0.66276459268762,0.767619047619048,89320.0,19.4981684981685,0.112412177985948,2016-2017,1000080,DE,19709,Regular School,High,No,27.0
100008000225,0.0564599930723935,0.701864406779661,0.713090418353576,84140.0,19.5543345543346,0.096816114359974,2016-2017,1000080,DE,19709,Regular School,High,No,27.0
100017000029,0.0447385003150599,0.69206204379562,0.64128256513026,56500.0,17.7374847374847,0.296960249415433,2016-2017,1000170,DE,19958,Regular School,High,No,92.0
100018000040,0.0770135214579659,0.640060240963855,0.834401709401709,54015.0,18.2454212454212,0.262641138929799,2016-2017,1000180,DE,19934,Regular School,High,No,89.0
100019000050,0.0801201802704056,0.673491975650249,0.483333333333333,50649.0,17.034188034188,0.425117924528302,2016-2017,1000190,DE,19904,Regular School,High,No,166.0
100020000238,0.0750577367205543,0.750750750750751,0.5156851331976205,12825.0,18.3870573870574,0.338928340865074,2016-2017,1000200,DE,19711,Regular School,High,No,298.0
100020000239,0.0754244364041191,0.616605270614905,0.595445411922304,59861.0,15.5445665445665,0.372116349047141,2016-2017,1000200,DE,19702,Regular School,High,No,298.0
100020000240,0.114201183431953,0.594220349187237,0.672058823529412,62078.0,14.980463980464,0.352800953516091,2016-2017,1000200,DE,19713,Regular School,High,No,298.0
100023000209,0.0399305555555556,0.54045643153527,0.840810419681621,61031.0,15.1050061050061,0.35893918609968,2016-2017,1000230,DE,19720,Regular School,High,No,143.0
100027000080,0.092850049652433,0.552924117931368,0.433151432469304,55347.0,17.8522588522588,0.171474358974359,2016-2017,1000270,DE,19940,Regular School,High,No,7.0
100068000085,0.107710189848896,0.465486725663717,0.513728323699422,46644.0,18.008547008547,0.304395604395604,2016-2017,1000680,DE,19945,Regular School,High,No,82.0
100068000090,0.0533126293995859,0.415671870217325,0.618326693227092,59500.0,16.0720390720391,0.447068403908795,2016-2017,1000680,DE,19947,Regular School,High,No,82.0
100079000095,0.139567835635848,0.53248136315229,0.508990318118949,40625.0,17.1782661782662,0.389887640449438,2016-2017,1000790,DE,19943,Regular School,High,No,43.0
100081000100,0.0787576261785912,0.431226765799257,0.463045414069457,39428.0,16.1648351648352,0.465553235908142,2016-2017,1000810,DE,19956,Regular School,High,No,26.0
100108000111,0.0931768158473955,0.303550295857988,0.689839572192513,37917.0,17.2905982905983,0.354623450905624,2016-2017,1001080,DE,19963,Regular School,High,No,42.0
100124000242,0.0617283950617284,0.856205250596659,0.96078431372549,105708.0,17.969474969475,0.299447513812155,2016-2017,1001240,DE,19803,Regular School,High,No,69.0
100124000246,0.0339188370684434,0.788472964943553,0.692429022082019,102383.0,18.3137973137973,0.283914728682171,2016-2017,1001240,DE,19809,Regular School,High,No,69.0
100124000247,0.0657681940700809,0.719058823529412,0.710382513661202,86429.0,18.970695970696,0.165605095541401,2016-2017,1001240,DE,19810,Regular School,High,No,69.0
100130000274,0.0820209973753281,0.826745718050066,0.66328125,95065.0,15.5714285714286,0.447880870561283,2016-2017,1001300,DE,19808,Regular School,High,No,91.0
100130000276,0.0280373831775701,0.811893203883495,0.835630965005302,151750.0,18.7704517704518,0.302702702702703,2016-2017,1001300,DE,19807,Regular School,High,No,91.0
100153000158,0.075028636884307,0.533549783549784,0.63972602739726,57929.0,15.6153846153846,0.533715925394548,2016-2017,1001530,DE,19973,Regular School,High,No,55.0
100162000299,0.102544625902013,0.503243427791055,0.535479151426481,51103.0,17.026862026862,0.28099173553719,2016-2017,1001620,DE,19977,Regular School,High,No,64.0
100185000194,0.119109102646869,0.373791621911923,0.553511705685619,50739.0,15.996336996337,0.452631578947368,2016-2017,1001850,DE,19950,Regular School,High,No,28.0
120003000013,0.121073672187322,0.732411304870716,0.360215053763441,19782.0,24.035409035409,0.37962962962963,2016-2017,1200030,FL,32609,Regular School,High,No,217.0
120003000019,0.0416253716551041,0.654947916666667,0.654781199351702,54225.0,21.6910866910867,0.430313588850174,2016-2017,1200030,FL,32669,Regular School,High,No,217.0
120003000020,0.0544682857816553,0.643496357960458,0.6038104543234,46554.0,22.6678876678877,0.364757709251101,2016-2017,1200030,FL,32615,Regular School,High,No,217.0
120003000028,0.116580310880829,0.382407066617593,0.450915141430948,33354.0,26.7216117216117,0.488112927191679,2016-2017,1200030,FL,32641,Regular School,High,No,217.0
120003000029,0.0298013245033113,0.810068649885583,0.683248730964467,75341.0,23.3516483516484,0.263061411549038,2016-2017,1200030,FL,32606,Regular School,High,No,217.0
120006000035,0.094651789149673,0.380206479174083,0.792228390166534,65391.0,17.4908424908425,0.387903225806452,2016-2017,1200060,FL,32040,Regular School,High,No,5.0
120009000039,0.209809264305177,0.545277507302824,0.746478873239437,25747.0,22.6190476190476,0.484598046581518,2016-2017,1200090,FL,32401,Regular School,High,No,1052.0
120009000064,0.108850457782299,0.352538275584206,0.420998980632008,35256.0,20.3724053724054,0.463494667760459,2016-2017,1200090,FL,32401,Regular School,High,No,1052.0
